time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-27 00:00:00+00:00,141,66,7,2
2024-02-28 00:00:00+00:00,344,126,55,8
2024-02-29 00:00:00+00:00,426,130,22,9
2024-03-01 00:00:00+00:00,394,151,15,5
2024-03-02 00:00:00+00:00,61,38,4,2
2024-03-03 00:00:00+00:00,65,33,2,2
2024-03-04 00:00:00+00:00,341,130,29,9
2024-03-05 00:00:00+00:00,451,160,28,6
2024-03-06 00:00:00+00:00,420,172,14,6
2024-03-07 00:00:00+00:00,392,172,21,8
2024-03-08 00:00:00+00:00,320,123,33,8
2024-03-09 00:00:00+00:00,84,42,2,2
2024-03-10 00:00:00+00:00,47,29,0,0
2024-03-11 00:00:00+00:00,367,164,26,9
2024-03-12 00:00:00+00:00,463,175,16,13
2024-03-13 00:00:00+00:00,494,160,36,15
2024-03-14 00:00:00+00:00,475,141,37,9
2024-03-15 00:00:00+00:00,435,134,7,4
2024-03-16 00:00:00+00:00,70,28,9,1
2024-03-17 00:00:00+00:00,80,35,13,5
2024-03-18 00:00:00+00:00,478,155,4,3
2024-03-19 00:00:00+00:00,458,163,29,6
2024-03-20 00:00:00+00:00,357,172,15,7
2024-03-21 00:00:00+00:00,445,182,27,10
2024-03-22 00:00:00+00:00,355,141,24,9
2024-03-23 00:00:00+00:00,54,27,2,1
2024-03-24 00:00:00+00:00,51,25,3,3
2024-03-25 00:00:00+00:00,354,137,17,10
2024-03-26 00:00:00+00:00,533,191,32,9
2024-03-27 00:00:00+00:00,401,148,12,9
2024-03-28 00:00:00+00:00,433,143,7,5
2024-03-29 00:00:00+00:00,187,90,55,4
2024-03-30 00:00:00+00:00,32,19,0,0
2024-03-31 00:00:00+00:00,51,31,1,1
2024-04-01 00:00:00+00:00,206,100,12,3
2024-04-02 00:00:00+00:00,456,158,18,10
2024-04-03 00:00:00+00:00,443,164,37,11
2024-04-04 00:00:00+00:00,407,133,9,7
2024-04-05 00:00:00+00:00,435,145,25,6
2024-04-06 00:00:00+00:00,64,30,15,6
2024-04-07 00:00:00+00:00,62,34,13,3
2024-04-08 00:00:00+00:00,426,165,31,10
2024-04-09 00:00:00+00:00,455,151,26,10
2024-04-10 00:00:00+00:00,399,140,5,5
2024-04-11 00:00:00+00:00,492,155,4,2
2024-04-12 00:00:00+00:00,503,149,27,9
2024-04-13 00:00:00+00:00,40,30,3,2
2024-04-14 00:00:00+00:00,34,29,32,6
2024-04-15 00:00:00+00:00,463,170,49,18
2024-04-16 00:00:00+00:00,428,135,48,16
2024-04-17 00:00:00+00:00,415,150,51,18
2024-04-18 00:00:00+00:00,520,142,23,9
2024-04-19 00:00:00+00:00,480,154,22,11
2024-04-20 00:00:00+00:00,47,32,2,2
2024-04-21 00:00:00+00:00,39,17,4,2
2024-04-22 00:00:00+00:00,416,145,22,7
2024-04-23 00:00:00+00:00,343,113,8,6
2024-04-24 00:00:00+00:00,382,148,12,4
2024-04-25 00:00:00+00:00,448,155,31,7
2024-04-26 00:00:00+00:00,400,148,88,14
2024-04-27 00:00:00+00:00,87,31,12,3
2024-04-28 00:00:00+00:00,60,29,11,4
2024-04-29 00:00:00+00:00,549,181,15,6
